MM_or_index,before_sigmax,after_sigmax,before_sigmay,after_sigmay,before_mux,after_mux,before_muy,after_muy,changed
1,0.00019762944896749122,0.00010625273597932811,0.00019762944896749122,0.00010625273597932811,2.5334130663154926e-06,2.5334130663154926e-06,-2.717560320474565e-06,-2.717560320474565e-06,True
2,0.00019762944896749122,0.00019770682523099632,0.00019762944896749122,0.00019770682523099632,4.358060569494821e-06,4.358060569494821e-06,-4.5086430810048e-06,-4.5086430810048e-06,True
3,0.00019762944896749122,0.0001724234563426503,0.00019762944896749122,4.310586408566263e-05,-8.461403782326269e-06,-8.461403782326269e-06,4.485832488616387e-06,4.485832488616387e-06,True
4,0.00019762944896749122,0.00033726772073086267,0.00019762944896749122,4.81811029615518e-05,-5.9509160174748586e-06,-5.9509160174748586e-06,4.677562017906673e-06,4.677562017906673e-06,True
5,0.00019762944896749122,0.00012918752590336828,0.00019762944896749122,3.9512916179391756e-05,3.52068443532061e-06,3.52068443532061e-06,-4.005964881051639e-06,-4.005964881051639e-06,True
6,0.00019762944896749122,0.00024029111365040596,0.00019762944896749122,7.349581480148122e-05,1.0178663369295259e-05,1.0178663369295259e-05,-8.982211348616022e-06,-8.982211348616022e-06,True
7,0.00019762944896749122,,0.00019762944896749122,,-1.4019878810022628e-05,-1.4019878810022628e-05,8.438812810759721e-06,8.438812810759721e-06,True
8,0.00019762944896749122,,0.00019762944896749122,,-5.847699696981804e-06,-5.847699696981804e-06,5.469994938810979e-06,5.469994938810979e-06,True
9,0.00019762944896749122,,0.00019762944896749122,,1.1618092076596711e-05,1.1618092076596711e-05,-5.2422013408964105e-06,-5.2422013408964105e-06,True
10,0.00019762944896749122,,0.00019762944896749122,,6.8538635104448834e-06,6.8538635104448834e-06,-6.801529979548096e-06,-6.801529979548096e-06,True
11,0.00019762944896749122,,0.00019762944896749122,,-6.162482053300141e-06,-6.162482053300141e-06,2.1810184647368374e-06,2.1810184647368374e-06,True
12,0.00019762944896749122,,0.00019762944896749122,,-8.777006416340486e-06,-8.777006416340486e-06,8.22103355103407e-06,8.22103355103407e-06,True
13,0.00019762944896749122,,0.00019762944896749122,,2.6051411876096978e-05,2.6051411876096978e-05,-7.151512032194318e-06,-7.151512032194318e-06,True
14,0.00019762944896749122,,0.00019762944896749122,,1.7677247817981214e-05,1.7677247817981214e-05,-9.985091856316329e-06,-9.985091856316329e-06,True
15,0.00019762944896749122,,0.00019762944896749122,,1.6446232719619102e-06,1.6446232719619102e-06,-4.111647026143114e-06,-4.111647026143114e-06,True
16,0.00019762944896749122,,0.00019762944896749122,,-9.78399968633131e-06,-9.78399968633131e-06,5.527532202321373e-06,5.527532202321373e-06,True
17,0.00019762944896749122,,0.00019762944896749122,,-1.6427535566791094e-05,-1.6427535566791094e-05,1.9385720423094452e-05,1.9385720423094452e-05,True
18,0.00019762944896749122,,0.00019762944896749122,,2.8871685333260924e-05,2.8871685333260924e-05,-7.583065802504253e-06,-7.583065802504253e-06,True
19,0.00019762944896749122,,0.00019762944896749122,,2.91768239279078e-05,2.91768239279078e-05,-1.4731069443748776e-05,-1.4731069443748776e-05,True
20,0.00019762944896749122,,0.00019762944896749122,,6.552395786268266e-06,6.552395786268266e-06,-6.53518761289377e-06,-6.53518761289377e-06,True
21,0.00019762944896749122,,0.00019762944896749122,,-1.497963669858981e-05,-1.497963669858981e-05,1.3251612691308718e-05,1.3251612691308718e-05,True
22,0.00019762944896749122,,0.00019762944896749122,,-1.6132315391691293e-05,-1.6132315391691293e-05,2.214136982691e-05,2.214136982691e-05,True
23,0.00019762944896749122,,0.00019762944896749122,,3.2971512364668704e-05,3.2971512364668704e-05,-6.9951771281644375e-06,-6.9951771281644375e-06,True
24,0.00019762944896749122,,0.00019762944896749122,,6.50663552437293e-05,6.50663552437293e-05,-2.3387264116253202e-05,-2.3387264116253202e-05,True
25,0.00019762944896749122,,0.00019762944896749122,,1.4287064390208937e-05,1.4287064390208937e-05,-1.0577541458493937e-05,-1.0577541458493937e-05,True
26,0.00019762944896749122,,0.00019762944896749122,,6.58214457290445e-06,6.58214457290445e-06,-4.767117690742892e-06,-4.767117690742892e-06,True
27,0.00019762944896749122,,0.00019762944896749122,,-4.0204900137652834e-05,-4.0204900137652834e-05,4.2373186295072456e-05,4.2373186295072456e-05,True
28,0.00019762944896749122,,0.00019762944896749122,,-2.1059944246282112e-05,-2.1059944246282112e-05,3.172430488339016e-05,3.172430488339016e-05,True
